39187,בן צבי/גרנבוים
39188,משטרה/בן צבי
39189,הנרייטה סולד/סטופ
39190,הנביאים/שד. בן צבי
39191,הנביאים/נצח ישראל
39193,שד. בן צבי/שמחה ארליך
39194,יחזקאל\הנביאים
39195,בן צבי/פלוגת מכבי
39196,בן צבי/נחום
39197,נחום/ישעיהו
39198,נחום/ישעיהו
39199,בית הכנסת הבוכרים/בן בוזי
39200,יחזקאל בן בוזי/נחום
39201,'יחזקאל/נחום א
39203,בן צבי/נחום
39204,בית ספר טשרניחובסקי/בן צבי
39205,בית ספר טשרניחובסקי/בן צבי
39206,בי''ס שפירא
39207,מרכז גריאטרי דורות/הנביאים
39208,בן עמי/קניג
39209,שדרות בן עמי/צהלה
39210,בן עמי\צהלה
39211,שד. עובד בן עמי/ברוך רם
39212,ז'בוטינסקי/סמילנסקי
39213,שד. בן אב''י/הרעות
39214,ז'בוטינסקי/קרליבך
39215,בן צבי/הגר''א
39216,שד. בן צבי/היהלומן אברהם
39217,בית ספר טשרניחובסקי/הגר''א
39218,עובדיה בן שלום/שלום שבזי
39220,שד. בנימין/שלום שבזי
39221,שד. בנימין/הרב טביב
39222,שד. בן אב''י/שד. בנימין
39223,עובדיה בן שלום/רמב''ם
39224,עובדיה בן שלום/רמב''ם
39225,אליעזר בן יהודה/אברהם אבו שדיד
39226,סמילנסקי/ירמיהו הלפרין
39228,סמילנסקי/שדרות ירושלים
39229,דיזנגוף/ירושלים
39230,שדרות ירושלים/סמילנסקי
39231,שדרות בן אב''י/שדרות בנימין
39232,שד. בן אב''י/שד. בנימין
39233,שדרות בנימין/טשרניחובסקי
39234,שד. בנימין/תחכמוני
39235,שד.ירושלים/שד. בנימין
39236,שד. בנימין/שד. ירושלים
39237,שד. בנימין/שד. ירושלים
39238,האר''י/הרב חרל''פ
39239,האר''י/דן שומרון
39240,פתח תקווה/אצ''ל
39242,פתח תקווה/בן אבי
39243,פתח תקווה/אפרים אהרונסון
39244,פתח תקווה/טיומקין
39245,פתח תקווה/החלוצים
39246,הרצל/עולי הגרדום
39247,הרצל/עולי הגרדום
39248,אוסישקין/שד. ירושלים
39249,אוסישקין/ראשון לציון
39250,דיזנגוף/דוד רמז
39251,דוד המלך/סטודיו
39252,דיזנגוף/הרצל
39253,ששת הימים\ויצמן
39254,כיכר פרלמן
39255,דוד המלך/שד. ניצה
39256,בי''ס יהודה הנשיא
39258,אנדריוס/בורוכוב
39259,בורוכוב/יהודה הנשיא
39260,בורוכוב/יהודה הנשיא
39261,ד''ר יהושע טהון/ליאון רייך
39262,הרב הרצוג/שלמה המלך
39263,יהושע טהון/איכילוב
39264,יהושע טהון/הרצוג
39265,ד''ר יהושע טהון/הרב הרצוג
39267,ת. מרכזית נתניה
39269,שדרות חיים וייצמן/שער העמק
39270,שוק עירוני
39271,ויצמן/ששת הימים
39272,מלחמת ששת הימים/ישראל זנגוויל
39273,הרצל/מינץ
39274,הרצל/בנימין מינץ
39275,דרך רזיאל/היהלום
39276,דרך רזיאל/מלחמת ששת הימים
39277,דרך רזיאל/מלחמת ששת הימים
39278,הרב יצחק ניסנבוים/משה גליקסון
39279,דרך רזיאל/הרב ריינס
39280,דרך רזיאל/הרב ריינס
39281,י.ח. ברנר/שד. חיים וייצמן
39282,ויצמן\שפירא משה
39283,שדרות וייצמן/יהודה הנשיא
39284,וייצמן/שרת
39285,חיים וייצמן/משה איכילוב
39286,וייצמן/איכילוב
39287,הרב הרצוג/שדרות חיים וייצמן
39288,שד.וייצמן/סוקולוב
39289,בית הבאר/נחום סוקולוב
39291,הרב ריינס/עמק חפר
39292,גולומב/טרומפלדור
39293,שרת/אליהו גולומב
39294,נחום סוקולוב/פייר ז'ילבר
39295,נחום סוקולוב/פייר ז'ילבר
39296,בית חולים לניאדו
39297,הגדוד העברי/דברי חיים
39298,אח''י דקר/דברי חיים
39299,בית חולים לניאדו
39300,הרב מיימון/מוריה
39301,הרב מיימון/מוריה
39302,הגפן\הגדוד העבר
39303,הגפן\החרוב
39304,הגפן/שד. עין התכלת
39305,הגפן/שד. עין התכלת
39306,קמיל הויסמנס/רבי עקיבא
39307,קמיל הויסמנס/בלפור
39310,הגפן/השקד
39311,הגפן/השקד
39314,צומת תל יצחק
39316,'כפר נטר א
39317,מרפאה
39318,ההדרים/החרוב
39319,ההדרים/סמטת החרוב
39320,ההדרים/עממי
39321,ההדרים/עממי
39323,השומרון/ותיקים
39324,השומרון/ותיקים
39325,ההדרים/הלוחמים
39326,ההדרים/הלוחמים
39327,המתמיד/הנוטע
39328,הנוטע/רקפות
39329,המייסדים/צבר
39330,מועצה מקומית
39333,העצמאות/נרקיסים
