88א | רכבת קרית אריה
22 | הדר גנים
30 | כרמיאל: אורט בראודה
30 | ראמה: מסעף
61 | כרמיאל: כרמיאל סנטר
299 | חיפה: אוניברסיטה
299 | מגאר: מרכז
13 | עילוט: מרכז
12 | נצרת: מרכז
332 | נוף הגליל: מרכז מסחרי
22 | פארק-טק
97 | הדר גנים
97 | רכבת קרית אריה
774 | רמות ב
781 | בית וגן
783 | כיכר זקס
787 | רמת שלמה
105 | גבעת זאב: אגן האיילות
105 | ירושלים: את תלפיות
142 | מטה בנימין: את שער בנימין
87 | אזור: מסוף שפינוזה
88 | חולון: פארק פרס
88 | תל אביב יפו: מסוף כרמלית
96 | תל אביב יפו: רכבת מרכז
4 | אפרידר
18 | תחנת הרכבת
4 | מסוף רמז
18 | מרינה
9 | מסוף בני ברית
5 | ברנע
5 | מסוף רמז
6 | מסוף רמז
21 | תלמים: מרכז
21 | אשקלון: תחנה מרכזית
9 | מסוף הטייסים
364 | אשקלון: תחנה מרכזית
22 | אשקלון: תחנה מרכזית
9 | מכללת לוינסקי
130 | אשכול: מחנה צאלים
12 | איזור תעשיה כבדה
12 | רובע טו
96 | אזור: מסוף שפינוזה
99 | חולון: מוזיאון אגד
99 | אזור: מסוף שפינוזה
29 | הרצליה: קניון ארנה
29 | כפר סבא: אזור תעשיה
70 | זכרון יעקב: גבעת עדן
13 | כפר סבא: אזור תעשיה
1 | טכניון
4 | תחנת הרכבת
4 | נאות יובלים
4 | מסוף אוטובוסים
555 | ירושלים: גבעת שאול
556 | ירושלים: גבעת שאול
110 | כפר חסידים א': מרכז
30 | נצרת: מרכז
50 | מרכז
50 | מנשית זבדה: מרכז
52 | אעבלין: מרכז
60 | כרמיאל: כרמיאל סנטר
60 | דייר חנא: כניסה מזרחית
61 | דייר חנא: כניסה מזרחית
62 | מגאר: מסעף מגאר
35 | פלך: מרכז
45 | כפר רתמים: מרכז
46 | תחנה מרכזית
59 | באר שבע: תחנה מרכזית
80 | נעורים
80 | הרדוף
352 | אשדוד: מסוף בני ברית
353 | תל אביב יפו: תחנה מרכזית
358 | דימונה: בית ספר יצחק שדה
64 | רמות
64 | גבעת שאול
64א | גבעת שאול
67 | גבעת שאול
431 | טבריה: תחנה מרכזית
7 | תל אביב יפו: רכבת האוניברסיטה
431 | מגדל העמק: בית עלמין
298 | חיפה: אוניברסיטה
1א | תחנה מרכזית
10 | תחנה מרכזית
298 | כאבול: מרכז
10א | תחנה מרכזית
19 | תל אביב יפו: מסוף כרמלית
7 | רמת גן: שער מזרחי שיבא
12 | אזור תעשיה הישן
67 | רמת שלמה
1 | מלונות
358 | בני ברק: קניון איילון
367 | באר שבע: תחנה מרכזית
37 | כרמיאל: תחנת הרכבת
367 | ראשון לציון: תחנה מרכזית
368 | באר שבע: תחנה מרכזית
2 | מרכז רימונים
2 | אזור התעשייה
301 | אשקלון: אפרידר
310 | אשקלון: תחנה מרכזית
