22,בי''ס אורט
22,מתנ''ס/כפר כנא
22,מרכז מסחרי
22,מרכז מסחרי
4,שכונת ראס אלח'אביה
3,שכונת ראס אלח'אביה
12,זרזיר א'/כניסה מערבית
12,פאולוס השישי/תופיק זיאד
12,פאולוס השישי/תופיק זיאד
13,ספוריה 5
13,פאולוס השישי/תופיק זיאד
13,תחנה מרכזית
83,פסגת ההר
28,סחנין יציאה מערבית
28,מכללת סח'נין/משרד הרישוי
28,תחנה מרכזית
28,צומת משהד
58,דייר חנא ו'/כביש ראשי
58,תחנה מרכזית
29,בסיס מחווה אלון
29,תחנה מרכזית
30,נשיאי ישראל/אורט בראודה
30,נשיאי ישראל/אורט בראודה
30,ראמה י/יציאה
30,נשיאי ישראל/אורט בראודה
30,תחנה מרכזית
30,תחנה מרכזית
30,תחנה מרכזית
30,תחנה מרכזית
30,תחנה מרכזית
50,בי''ס מקיף זרזיר
50,בי''ס מקיף זרזיר
50,בי''ס מקיף זרזיר
50,בי''ס מקיף זרזיר
50,בי''ס מקיף זרזיר
50,בי''ס מקיף זרזיר
50,בי''ס מקיף זרזיר
50,מנשית זבדה יציאה
50,מזאריב 1
50,עיאדאת יציאה
50,גריפאת 5
50,שכונת גריפאת ד
50,מזאריב 1
51,בי''ס יסודי/חט''ב כעבייה
51,בית ספר תיכון כעבייה
51,בית ספר תיכון כעבייה
51,חג'אג'רה ג
51,חג'אג'רה ג
51,גבעת רשיד 1
81,בי''ס יסודי חגאגרה
81,בי''ס יסודי/חט''ב כעבייה
81,מסיטבה 1
81,שכונת אלטואהר
52,מכללת מר אליאס
52,כפר מנדא/מרכז מסחרי
59,מכללת מר אליאס
59,דייר חנא ו'/כביש ראשי
60,מתחם ביג כרמיאל
60,מתחם ביג כרמיאל
60,מתחם ביג כרמיאל
60,מתחם ביג כרמיאל
60,תחנה לבריאות המשפחה
60,תחנה לבריאות המשפחה
60,תחנה לבריאות המשפחה
61,מתחם ביג כרמיאל
61,מתחם ביג כרמיאל
61,תחנה לבריאות המשפחה
61,תחנה לבריאות המשפחה
62,פאולוס השישי/6177
62,מסעף מגאר
62,מסעף מגאר
299,אוניברסיטה/רב תכליתי
299,אוניברסיטה/רב תכליתי
299,מגאר ג'/מרכז
332,ת. רכבת חיפה מרכז
332,ת. מרכזית המפרץ/הורדה
332,ת. רכבת חיפה מרכז
332,מרכז מסחרי/שדרות מעלה יצחק
332,מרכז מסחרי/שדרות מעלה יצחק
332,מרכז מסחרי/שדרות מעלה יצחק
342,ת. מרכזית המפרץ/הורדה
342,ת. מרכזית המפרץ/הורדה
342,מרכז דדו/יזרעאל
342,מרכז דדו/יזרעאל
365,ת. מרכזית צפת
365,סחנין יציאה מערבית
431,ת. מרכזית טבריה/הורדה
431,בית העלמין
431,בית העלמין
553,החשמל/חטיבת כרמלי
553,החשמל/חטיבת כרמלי
553,אולם ספורט
554,החשמל/חטיבת כרמלי
554,עין מאהל א'/שכונת אלעבהרה
298,אוניברסיטה/רב תכליתי
298,כאבול ו'/יציאה
296,אל קודס/בנק הפועלים
296,מכללת סח'נין/משרד הרישוי
297,אוניברסיטה/רב תכליתי
